"title","content","date","variant","images","verified","author","rating","product","url"
"Excellent purchase - no regrets!","Just loved this watch...better then the fitbit I had!  The battery life is amazing...lasts for a few days...looks like an Apple watch...love that I can view emails - calls coming in...very pleased!  Also found it very comfortable to wear-to sleep in- lightweight and band does not look cheap- very good quality!","20 Oct 2020","Color Name: Black","","Yes","JSt","5.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"Worth the purchase","Your browser does not support HTML5 video. I love it. The only thing missing for me is swimming capacity but since all the gyms an pools are shut down this is an ideal way to get me moving. The sleep tracking is amazing. The battery life seems to be every five days. Can you talk to my cellular so my phone could last this long?","28 Oct 2020","Color Name: Black","","Yes","Marie C.","5.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"works great","I like being alerted that I have an incoming call or text while my phone is in another room.","17 Sep 2020","Color Name: Black","","Yes","Angela Pollard","5.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"It’s ok","I bought this to see how many calories I burn during workouts but it isn’t accurate at all. For someone who doesn’t care about calories could find the watch useful.","06 Nov 2020","Color Name: Pink","","Yes","Maria","3.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"Connects to strava and google fit","I like the watch, and all the features one being able to sync to the two  apps i use *strava and google fit* -which was my selling feature. I also enjoy the *relax* function. Its water proofed enough where washing hands or the dishes wont ruin it. But That's as much watering around ive done with it.  So its not submerged in water... What i don't like is, i seem to break out in extremely itchy bumps where the watch sits on my wrist. Forcing me to remove the watch from a few hrs to a few days depending how bad my reaction is. Bumps appear where the little green light flashes to read your heart rate... So idk.. The battery life is AMAZING Although it came at 97% charged i did charge it to 100% before using, and it's held it's charge for 10 days it still at 50% Overall decent watch for the price. It's no fitbit but serves its purpose.","10 Jan 2021","Color Name: ChristmasBlack","","Yes","Jacqueline","4.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"What you expect for money spent","The value for the money Niece received as Christmas gift loved the watch at first site easy set up for her at age thirteen quick to figure out working process and paired to her iPhone very quickly Thank you for making a smile on nieces face when she opened her gift on December 23 rd yes early gift but couldn’t wait any longer to see the expression","28 Dec 2020","Color Name: Deep Green","","Yes","Considerate","5.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"Great price","Just received this in the mail today! So far this is exactly as described and a great price.","09 Aug 2020","Color Name: Pink","https://images-na.ssl-images-amazon.com/images/I/61R-agyZdmL._SY88.jpg","Yes","Elicia","5.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"Great buy for the price.","I purchased three for my family. We  have only had them a week but so far they live up to the advertisements. Seem to work well & are accurate. Would recommend as an alternative to Apple or Fit Bit. Much more economical & work great.","02 Jan 2021","Color Name: Deep Green","","Yes","J. Ward","4.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"Not accurate at all, don't throw your money in!","Your browser does not support HTML5 video. Accuracy 0/10 This watch is not accurate at all, it's taking fake heart rates, step counts and etc. Even if you move or shake your hand it will increment the step counts, I played piano for while it showed me 9198 steps,however  my Samsung device showed me 2980 steps.","08 Jan 2021","Color Name: Black","https://images-na.ssl-images-amazon.com/images/I/61ICYJGkQVL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81lHAytoekL._SY88.jpg","Yes","Divya","1.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
"Rien à perdre","16 janvier 2021 Je me suis dit qu'à 42,99$ que je n'avais rien à perdre et suis extrêmement surprise. Wow! 27 janvier 2021 Après 10 jours d'utilisation je suis un peu déçu. Mon bracelet est noir. Je suis secrétariat, donc pas un travail salissant. Donc, petit conseil ne prenez pas une montre au couleur pâle 😉 La batterie wow. Je l'ai chargée une fois depuis que j'ai la montre.","19 Jan 2021","Color Name: Pink","https://images-na.ssl-images-amazon.com/images/I/71+hptdLB7L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71aZvDHBZnL._SY88.jpg","Yes","Geneviève","5.0","Lintelek Smart Watch with 1.3"" LCD Full Touch Screen, Large Screen Fitness Tracker with Heart Rate Monitor, Pedometer, Sleep Tracker, Waterproof Activity Tracker for Men, Women and Gift","https://www.amazon.ca/product-reviews/B07XM5PKDV/ref=acr_dp_hist_5?ie=UTF8&reviewerType=all_reviews
"
